rpa;micro_regiao;cnes;academia_nome;endereco;bairro;fone;latitude;longitude;horario_de_aulas
1;1;6664288;US 358 ACADEMIA DA CIDADE POLO DE SANTO AMARO /JOAO DE BARROS;AV AGAMENON MAGALHAES, S/N;SANTO AMARO;3355-2820/3355-2812;-8,044385959;-34,88799104;05:30 as 08:30 / 17:00 as 19:00
1;1;6865003;US 374 ACADEMIA DA CIDADE POLO 13 DE MAIO;PRACA 13 DE MAIO;SANTO AMARO;3355-2820/3355-2812;-8,056658194;-34,88019835;05:30 as 08:30 / 17:00 as 19:00
1;2;6664253;US 356 ACADEMIA DA CIDADE POLO DA ILHA DO LEITE / MIGUEL DE CERVANTES;PRACA MIGUEL DE CERVANTES;ILHA DO LEITE;3355-2820/3355-2812;-8,066801476;-34,89355356;05:30 as 08:30 / 17:00 as 19:00
1;2;6664261;US 357 ACADEMIA DA CIDADE POLO COQUE;AV MARTINS LUTHER KING, S/N;JOANA BEZERRA;3355-2820/3355-2812;-8,069517287;-34,897017;05:30 as 08:30 / 17:00 as 19:00
2;1;9999999;POLO PRACA CHAO DE ESTRELAS;RUA MARCILIO DIAS;CAMPINA DO BARRETO;3355-2820/3355-2812;-8,020622601;-34,87968359;05:30 as 08:30 / 17:00 as 19:00
2;1;9999999;POLO PRACA JOVEM CAP;RUA SUDESTE, S/N;CAJUEIRO;3355-2820/3355-2812;-8,014352817;-34,88325204;05:30 as 08:30 / 17:00 as 19:00
2;1;6660398;US 353 ACADEMIA DA CIDADE POLO ILHA DE JOANEIRO;AV AGAMENON MAGALHAES ;TORREAO;3355-2820/3355-2812;-8,041390408;-34,88334059;05:30 as 08:30 / 17:00 as 19:00
2;1;6664245;US 355 ACADEMIA DA CIDADE POLO HIPODROMO;PRACA DO HIPODROMO;HIPODROMO;3355-2820/3355-2812;-8,032222022;-34,8860192;05:30 as 08:30 / 17:00 as 19:00
2;1;6916317;US 377 ACADEMIA DA CIDADE POLO CHIE;AV AGAMENON MAGALHAES;CAMPO GRANDE;3355-2820/3355-2812;-8,038132873;-34,87638771;05:30 as 08:30 / 17:00 as 19:00
2;3;9999999;POLO CSU AFRANIO GODOY;AV ANIBAL BENEVOLO, S/N;LINHA DO TIRO;3355-2820/3355-2812;-8,010283367;-34,90327754;05:30 as 08:30 / 17:00 as 19:00
2;3;6664237;US 354 ACADEMIA DA CIDADE POLO ALTO DO CAPITAO;RUA TUPIRACABA, S/N;DOIS UNIDOS;3355-2820/3355-2812;-7,999643463;-34,91377457;05:30 as 08:30 / 17:00 as 19:00
3;1;9999999;POLO ERMIRIO DE MORAES;AV 17 DE AGOSTO, 2388;CASA FORTE;3355-2820/3355-2812;-8,028673668;-34,9258694;05:30 as 08:30 / 17:00 as 19:00
3;1;9999999;POLO PARQUE SANTANA;RUA SANTANA, S/N - SANTANA;SANTANA;3355-2820/3355-2812;-8,041942302;-34,91801276;05:30 as 08:30 / 17:00 as 19:00
3;1;6664296;US 359 ACADEMIA DA CIDADE POLO SITIO DA TRINDADE;ESTRADA DO ARRAIAL, S/N;CASA AMARELA;3355-2820/3355-2812;-8,028879688;-34,91217231;05:30 as 08:30 / 17:00 as 19:00
3;1;6664318;US 360 ACADEMIA DA CIDADE POLO DO MORRO DA CONCEICAO / ODETE GOMES DE ALMEIDA;PRACA DO MORRO DA CONCEICAO, 589;MORRO DA CONCEICAO;3355-2820/3355-2812;-8,019378056;-34,91499809;05:30 as 08:30 / 17:00 as 19:00
3;1;6664326;US 361 ACADEMIA DA CIDADE POLO JAQUEIRA;RUA DO FUTURO, S/N;JAQUEIRA;3355-2820/3355-2812;-8,036524412;-34,90469063;05:30 as 08:30 / 17:00 as 19:00
3;2;7135823;US 387 ACADEMIA DA CIDADE POLO UM POR TODOS;RUA VILA UM POR TODOS, S/N;VASCO DA GAMA;3355-2820/3355-2812;-8,010439885;-34,9224429;05:30 as 08:30 / 17:00 as 19:00
3;3;9999999;US 380 POLO PRACA DO BURITY;AVENIDA NORTE, S/N;MACAXEIRA;3355-2820/3355-2812;-8,016742672;-34,92931483;05:30 as 08:30 / 17:00 as 19:00
