rpa;unidade;endereco;bairro;fone;latitude;longitude
1;US 232 USF ILHA SANTA TEREZINHA / SANTO AMARO III;RUA ARTENIS, 9  - SANTO AMARO;SANTO AMARO;3355-4668;-8,039779689;-34,87703218
1;US 242 USF SANTO AMARO I / SITIO DO CEU;RUA ANCHIETA, 520  - SANTO AMARO;SANTO AMARO;3355-4704;-8,041531387;-34,88040273
1;US 243 USF SANTO AMARO II;RUA BUARQUE DE MACEDO, 65  - SANTO AMARO;SANTO AMARO;3355-6798;-8,045709252;-34,87815036
1;US 278 USF NOSSA SENHORA DO PILAR;AV MILITAR, S/N - BAIRRO DO RECIFE;BAIRRO DO RECIFE;3355-6691;-8,05259663;-34,87239009
1;US 334 USF CABANGA;RUA ESCRITOR SOUZA BARROS, 334 - CABANGA;CABANGA;3355-6418;-8,079219384;-34,89969453
1;US 218 USF COQUE / DR BERILO PERNAMBUCANO;RUA GUAPIRAMA, 65, COQUE  - ILHA JOANA BEZERRA;ILHA JOANA BEZERRA;3355-4656;-8,071488433;-34,89980374
1;US 240 USF COELHOS I;RUA BITURUNA, 110  - COELHOS;COELHOS;3355-4648;-8,068240629;-34,89045505
1;US 241 USF COELHOS II;RUA DR JOSE MARIANO, 699 - COELHOS;COELHOS;3355-4653;-8,06611592;-34,88832823
1;US 285 USF SAO JOSE DO COQUE;AV CENTRAL, 10 - ILHA JOANA BEZERRA;ILHA JOANA BEZERRA;3355-6226;-8,072817109;-34,89627748
1;Instituto Materno-Infantil de Pernambuco (IMIP);RUA DOS COELHOS, 300 - BOA VISTA;BOA VISTA;2122-4100;-8,066039;-34,889833
2;US 221 USF ILHA DE JOANEIRO I E II;RUA MARECHAL DEODORO - 688, CAMPO GRANDE;CAMPO GRANDE;3355-6150;-8,035598781;-34,88276532
2;US 226 USF CHAO DE ESTRELAS I E II;RUA DR ELIAS GOMES, 65  - CAMPINA DO BARRETO;CAMPINA DO BARRETO;3355-6694;-8,019401936;-34,88090062
2;US 227 USF TASSO BEZERRA - CHIE I;RUA CONTINENTAL, 270 - ILHA DO CHIE - CAMPO GRANDE;CAMPO GRANDE;3355-6695;-8,036199913;-34,87625486
2;US 244  USF PROFESSOR ANTONIO FRANCISCO AREIAS /VALE DA PRATA / SARAMANDAIA;AV JARDIM BRASILIA, 145 - PEIXINHOS;PEIXINHOS;3355-6212;-8,017411869;-34,87407665
2;US 262 USF JOSE SEVERIANO DA SILVA /CAPILE /CANAL DO ARRUDA;AV JERONIMO VILELA, 794 - CAMPO GRANDE;CAMPO GRANDE;3355-6170;-8,025127716;-34,88263033
2;US 271 USF TASSO BEZERRA - CHIE II;RUA GUAIANASES, 379 - CAMPO GRANDE;CAMPO GRANDE;3355-6430;-8,035912123;-34,87822813
2;US 286 USF IRMA TEREZINHA I E II;RUA DA CONSOLACAO, 09  - PEIXINHOS;PEIXINHOS;3355-6155;-8,020078401;-34,87795145
2;US 138 USF DR LUIZ WILSON;RUA CHA DE ALEGRIA, S/N - BOMBA DO HEMETERIO;BOMBA DO HEMETERIO;3355-3165;-8,021139901;-34,90441318
2;US 179 USF ALTO DO CEU / PORTO DA MADEIRA;RUA CAPITAO SALGUEIRO, 267 - PORTO DA MADEIRA;PORTO DA MADEIRA;3355-6206;-8,009710701;-34,89145005
2;US 274 USF TIA REGINA / CORREGO DO DEODATO;RUA CORREGO DO DEODATO, 315 - AGUA FRIA;AGUA FRIA;3355-4708;-8,013924296;-34,90013982
2;US 276 USF ALTO DO PASCOAL;AV ANIBAL BENEVOLO, S/N, ALTO DO PASCOAL - LINHA DO TIRO;LINHA DO TIRO;3355-4628;-8,011471981;-34,90441175
2;US 302 USF BYRON SARINHO;RUA NAZARE, 293  - AGUA FRIA;AGUA FRIA;3355-6510;-8,017193578;-34,89581297
2;US 222 USF CORREGO DO CURIO;RUA CORREGO DO CURIO, 73  - DOIS UNIDOS;DOIS UNIDOS;3355-4665;-8,000609099;-34,91593382
2;US 273 USF BIANOR TEODOSIO / DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS, S/N - DOIS UNIDOS;DOIS UNIDOS;3355-6094;-7,988657016;-34,91736657
2;US 291 USF ALTO DOS COQUEIROS / CORREGO DA JAQUEIRA / LINHA DO TIRO;RUA CORREGO DA JAQUEIRA, 160 - LINHA DO TIRO;LINHA DO TIRO;3355-4660;-8,007926199;-34,90147594
2;US 309 USF PONTO DE PARADA;RUA RAMIZ GALVAO, 379 - ARRUDA;ARRUDA;3355-6095;-8,025612626;-34,89662631
2;US 327 USF CLUBE DOS DELEGADOS / VISC. DE GARRET;RUA JOAO CAVALCANTI PETRIBU, S/N - DOIS UNIDOS;DOIS UNIDOS;3355-6905;-7,991575926;-34,91743889
2;US 328 USF ALTO DO MARACANA;RUA SUBIDA MEDALHA MILAGROSA, 153, ALTO DO MARACANA  - DOIS UNIDOS;DOIS UNIDOS;3355-6972;-8,003869404;-34,90848785
2;US 339 USF ALTO DO CAPITAO;RUA TUBIRACABA, S/N  - DOIS UNIDOS;DOIS UNIDOS;3355-6922;-8,000008412;-34,91394503
2;US 376 POLICLÍNICA SALOMÃO KELNER;RUA ESTRADA VELHA DE ÁGUA FRIA, S/N, ÁGUA FRIA;ÁGUA FRIA;3355-9900;-8,015850039;-34,89576176
2;US 155 MONTEIRO MORAES;AV BEBERIBE, 4510 - BEBERIBE;BEBERIBE;3355-7839;-8,004098911;-34,89691814
2;US 169 POLICLÍNICA AMAURY COUTINHO;RUA IGUATU, S/N - CAMPINA DO BARRETO;CAMPINA DO BARRETO;3355-7875;-8,015850039;-34,88201221
3;US 336 USF UNIAO DAS VILAS;RUA GOMES PACHECO, 198 - ESPINHEIRO;ESPINHEIRO;3355-6134;-8,041365573;-34,88706315
3;US 182 USF POCO DA PANELA;RUA IRMA MARIA DA PAZ, 108 - POCO DA PANELA;POCO DA PANELA;3355-6202;-8,037562298;-34,92489414
3;US 216 USF APIPUCOS / SÃO JOAO;RUA CORONEL JOAO BATISTA DO REGO BARROS, 56 - APIPUCOS;APIPUCOS;3355-4632;-8,020766889;-34,93414143
3;US 249 USF SANTANA;RUA OLEGARINHA DA CUNHA, 333 - SANTANA;SANTANA;3355-6222;-8,040979353;-34,91953412
3;US 258 USF SITIO DOS PINTOS / DR ANTONIO DA SILVA;RUA PROFESSOR AGOSTINHO NUNES MACHADO, S/N - DOIS IRMAOS;DOIS IRMAOS;3355-0070;-8,014252107;-34,9572292
3;US 259 USF SITIO SAO BRAZ;TERCEIRA TRAVESSA DA RUA SAO BRAZ, 60 E 60A - DOIS IRMAOS;DOIS IRMAOS;3355-0325;-8,01801648;-34,95738556
3;US 260 USF CORREGO DA FORTUNA;AV PROFESSOR CLAUDIO SELVA, 1030 - DOIS IRMAOS;DOIS IRMAOS;3355-0177;-8,01205117;-34,95215894
3;US 261 USF ALTO DO EUCALIPTO / EDNALDO VASCONCELOS;RUA CAMBORIU, 664 - VASCO DA GAMA;VASCO DA GAMA;3355-6082;-8,008537237;-34,91942761
3;US 287 USF ALTO JOSE DO PINHO /IRMA DENISE;RUA MARAGOGI, 05 - ALTO JOSE DO PINHO;ALTO JOSE DO PINHO;3355-6086;-8,022116668;-34,90755849
3;US 288 USF MORRO DA CONCEICAO;RUA DA CONCEICAO, 589 - MORRO DA CONCEICAO;CASA AMARELA;3355-6526;-8,01881441;-34,91429775
3;US 290 USF DA MANGABEIRA;RUA DA MANGABEIRA,364 - MANGABEIRA;MANGABEIRA;3355-6182;-8,025316055;-34,90330242
3;US 324 USF ALTO JOSE BONIFACIO / ALCIDES CODECEIRA;PRCA VISCONDE DE SA BANDEIRA, S/N - ALTO JOSE BONIFACIO;ALTO JOSE BONIFACIO;3355-6074;-8,012241818;-34,91232485
3;US 175 USF ALTO DA BRASILEIRA / DIOGENES CAVALCANTI / RESERVATORIO;RUA ALTO DA BRASILEIRA,1002, RESERVATORIO - NOVA DESCOBERTA;NOVA DESCOBERTA;3355-6402;-8,001322598;-34,93547968
3;US 183 USF SITIO DOS MACACOS;ESTRADA DOS MACACOS, 47. VILA ARITANA - DOIS IRMAOS;DOIS IRMAOS;3355-4551;-7,995557364;-34,95450865
3;US 231 USF CORREGO DA BICA/MARIA EDUARDA CESSE;RUA SANTA TEREZA, S/N CORREGO DA BICA - GUABIRABA;GUABIRABA;3355-6115;-7,988244255;-34,92928917
3;US 251 USF DA GUABIRABA;AV OTACILIO DE AZEVEDO, 115 - GUABIRABA;GUABIRABA;3355-6522;-7,993813401;-34,93530561
3;US 256 USF PASSARINHO BAIXO;RUA DO CANARIO, 220  - PASSARINHO;PASSARINHO;3355-4680;-7,979715193;-34,91693981
3;US 257 USF GILBERTO FREIRE / BOLA NA REDE;RUA AMARO LUIZ DE CARVALHO, S/N - GUABIRABA;GUABIRABA;3355-3800;-7,966015429;-34,92496471
3;US 272 USF SANTA TEREZA / FREI DAMIAO;RUA ALTO SANTA TEREZA, 746 - NOVA DESCOBERTA;NOVA DESCOBERTA;3355-4696;-7,986251016;-34,92685249
3;US 279 USF PASSARINHO ALTO;RUA DAS ROSAS 120 - PASSARINHO;PASSARINHO;3355-6195;-7,9799605;-34,91499806
3;US 283 USF VILA BOA VISTA;AV VEREADOR OTACILIO DE AZEVEDO, 4598 - GUABIRABA;GUABIRABA;3355-6242;-7,995729666;-34,92579288
